date,market,riskfree,return,vol
2014-04-17,0.003714118,0.0005,-0.055762082,-0.301132753
2014-04-21,0.001083032,0.0006,-0.008854499,0.652341302
2014-04-22,0.005224987,0.0006,-0.01167002,-0.618118428
2014-04-23,-0.001937227,0.0005,-0.002381922,0.518814675
2014-04-24,0.000838698,0.0004,0.016223497,-0.084931044
2014-04-25,-0.007095029,0.0004,-0.068657376,6.038040205
2014-04-28,0.000120569,0.0005,0.000898876,1.763153981
2014-04-29,0.005633916,0.0005,0.000314324,-0.4825309
2014-04-30,0.00254943,0.0005,0.00859631,-0.1929299
2014-05-01,0.001594324,0.0005,0.023877873,-0.22361145
2014-05-02,0.000429782,0.0005,-0.022277766,-0.382162631
2014-05-05,-7.96E-05,0.0005,-0.012946838,0.429007587
2014-05-06,-0.003079028,0.0005,0.000347998,0.175005791
2014-05-07,-0.000375094,0.0005,0.035043174,0.499731657
2014-05-08,0.001301345,0.0005,-0.00896861,-0.613467744
2014-05-12,0.007611517,0.0005,0.005860135,-0.709298099
2014-05-13,0.001688359,0.0005,-0.003618488,-0.445983303
2014-05-14,-0.001313593,0.0005,0.020967521,0.612994914
2014-05-15,-0.007059942,0.0005,-6.71E-05,-0.386853871
2014-05-16,0.000702236,0.0005,0.003423049,-0.08411458
2014-05-19,0.001897896,0.0005,-0.000447227,0.789179882
2014-05-20,-0.005030245,0.0006,0.092706935,13.11038363
2014-05-21,0.004447715,0.0006,0.011383179,-0.609733955
2014-05-22,0.004579338,0.0005,0.066801619,0.98462869
2014-05-23,0.003535782,0.0005,0.001897533,0.105391087
2014-05-27,0.00198544,0.0006,-0.011982198,0.018526961
2014-05-28,-0.00022803,0.0005,-0.006722107,-0.572880174
2014-05-29,0.003712239,0.0005,-0.00146515,0.163981193
2014-05-30,-0.00028209,0.0006,0.091933343,1.511015254
2014-06-03,-0.000234821,0.0006,0.029334365,-0.334001343
2014-06-04,0.000908187,0.0006,-0.030002256,0.266086391
2014-06-05,0.005013962,0.0006,0.02744186,-0.623579115
2014-06-06,0.00600853,0.0006,-0.01539158,-0.447688809
2014-06-09,0.001655629,0.0006,-0.01117293,1.074834149
2014-06-10,0.000177647,0.0006,0.010223063,-0.00594081
2014-06-11,-0.002262671,0.0006,-0.029430563,0.253819135
2014-06-12,-0.002917957,0.0007,-0.072969583,1.476574251
2014-06-13,0.000147489,0.0007,0.022443595,0.110085135
2014-06-16,-0.000263889,0.0007,0.051799747,0.238851125
2014-06-17,0.001304267,0.0007,0.022831507,-0.495598843
2014-06-18,0.00438066,0.0006,-0.011250611,-0.175771855
2014-06-19,0.00602126,0.0005,-0.014858179,-0.338587283
2014-06-20,-0.000897783,0.0004,-0.008353002,1.039475779
2014-06-23,-0.000798747,0.0006,-0.024438803,0.051240912
2014-06-24,-0.003973866,0.0006,-0.002380952,-0.295283713
2014-06-25,-0.000354985,0.0005,-0.037350835,1.990689824
2014-06-26,0.000223874,0.0006,0.016486922,-0.402565526
2014-06-27,0.001944955,0.0006,0.017404181,-0.118107203
2014-06-30,0.002349443,0.0007,0.068673691,8.683228172
2014-07-01,0.005978958,0.0006,0.015713034,-0.142743051
2014-07-02,0.001611905,0.0006,0.00459168,-0.51950735
2014-07-03,0.003798279,0.0006,-0.016933035,-0.339365165
2014-07-07,-0.004932023,0.0006,-0.019685535,0.587544666
2014-07-08,-0.006926837,0.0006,0.002598319,-0.463673082
2014-07-09,0.001584213,0.0006,0.00143977,0.209336417
2014-07-10,-0.00602738,0.0006,-0.014361022,0.503918241
2014-07-11,9.27E-05,0.0007,0.027049805,-0.265992146
2014-07-14,0.00597068,0.0006,-0.015748532,0.421065475
2014-07-15,-0.002986817,0.0006,-4.84E-05,0.016996208
2014-07-16,0.004697728,0.0006,-0.006177918,-0.126409339
2014-07-17,-0.008562011,0.0006,0.011117964,-0.153333206
2014-07-18,0.00481665,0.0005,0.008074225,0.424137615
2014-07-21,-0.002008218,0.0006,-0.007670459,0.733168596
2014-07-22,0.006537913,0.0007,0.003088666,-0.255930068
2014-07-23,0.001960889,0.0005,-0.002256972,-0.291468058
2014-07-24,0.001215513,0.0006,-0.028922281,6.639647301
2014-07-25,-0.004260583,0.0006,-0.001663894,-0.56074287
2014-07-28,-0.000322061,0.0006,-0.013704619,3.19017018
2014-07-29,-0.001871625,0.0006,-0.003733761,-0.627561045
2014-07-30,-0.002028834,0.0006,-0.035441088,0.607190071
2014-07-31,-0.014592638,0.0005,0.036157831,0.783615751
2014-08-05,-0.006576115,0.0005,-0.020239036,-0.534310234
2014-08-07,-0.00453798,0.0004,0.008115296,0.548674091
2014-08-08,0.002207856,0.0005,0.007301133,-0.438374656
2014-08-11,0.007797642,0.0005,-0.024965917,3.368341105
2014-08-12,-0.000943574,0.0005,-0.009857555,-0.057156541
2014-08-13,0.005454288,0.0006,-0.039610951,1.525754114
2014-08-14,0.003843474,0.0006,-0.07548661,1.229635964
2014-08-15,-0.000491266,0.0005,-0.018687873,-0.457151693
2014-08-18,0.007357014,0.0005,-0.068142857,1.868446346
2014-08-19,0.004654585,0.0005,0.04728324,-0.355372771
2014-08-20,6.17E-05,0.0006,0.06754496,0.143060377
2014-08-21,0.00299085,0.0006,0.02503428,-0.401106763
2014-08-22,-0.002628404,0.0006,-0.011886562,-0.295280368
2014-08-25,0.004816028,0.0005,-0.024681017,0.203048226
2014-08-26,0.002461656,0.0005,0.011624191,0.516133744
